episode,agent,seed,reward,avg_reward,steps,lap_finished,visited_tiles,total_tiles,progress_percent,avg_progress_percent,end_reason,elapsed_seconds,loss,epsilon,pg_loss,vf_loss,entropy
169,PPO,42,103.809187,97.672332,340,False,39,283,13.780919,13.498233,no_progress,460.549244,,,,,
170,PPO,42,96.542049,97.628975,342,False,37,283,13.074205,13.462898,no_progress,462.074846,,,,,
171,PPO,42,29.804947,90.528551,444,False,21,283,7.420495,12.826855,no_progress,464.130222,,,,,
172,PPO,42,87.908481,89.691837,393,False,36,283,12.720848,12.756184,no_progress,465.918343,,,,,
173,PPO,42,96.742049,90.065194,340,False,37,283,13.074205,12.791519,no_progress,467.464506,,,,,
174,PPO,42,94.242049,89.518481,365,False,37,283,13.074205,12.720848,no_progress,478.636039,-0.055160,,-0.003638,0.058180,1.321347
175,PPO,42,98.675618,89.238481,356,False,38,283,13.427562,12.720848,no_progress,480.192216,,,,,
176,PPO,42,99.475618,90.518481,348,False,38,283,13.427562,12.720848,no_progress,481.741951,,,,,
177,PPO,42,93.375618,89.685124,409,False,38,283,13.427562,12.685512,no_progress,483.554244,,,,,
178,PPO,42,98.575618,89.915124,357,False,38,283,13.427562,12.685512,no_progress,485.124956,,,,,
179,PPO,42,32.570671,82.791272,275,False,17,283,6.007067,11.908127,no_progress,486.355647,,,,,
180,PPO,42,94.008481,82.537915,332,False,36,283,12.720848,11.872792,no_progress,487.809972,,,,,
181,PPO,42,92.342049,88.791625,384,False,37,283,13.074205,12.438163,no_progress,489.562299,,,,,
182,PPO,42,99.509187,89.951696,383,False,39,283,13.780919,12.544170,no_progress,491.322326,,,,,
183,PPO,42,99.075618,90.185053,352,False,38,283,13.427562,12.579505,no_progress,492.995351,,,,,
184,PPO,42,98.275618,90.588410,360,False,38,283,13.427562,12.614841,no_progress,495.024387,,,,,
185,PPO,42,96.342049,90.355053,344,False,37,283,13.074205,12.579505,no_progress,509.315963,-0.059284,,-0.009991,0.050841,1.240070
186,PPO,42,84.275618,88.835053,500,False,38,283,13.427562,12.579505,max_steps,512.391146,,,,,
187,PPO,42,42.605654,83.758057,422,False,24,283,8.480565,12.084806,no_progress,515.532658,,,,,
188,PPO,42,92.675618,83.168057,416,False,38,283,13.427562,12.084806,no_progress,519.481631,,,,,
189,PPO,42,36.837809,83.594770,303,False,19,283,6.713781,12.155477,no_progress,522.033819,,,,,
190,PPO,42,92.642756,83.458198,487,False,40,283,14.134276,12.296820,no_progress,525.089470,,,,,
191,PPO,42,97.375618,83.961555,369,False,38,283,13.427562,12.332155,no_progress,527.044167,,,,,
192,PPO,42,97.075618,83.718198,372,False,38,283,13.427562,12.296820,no_progress,528.997271,,,,,
193,PPO,42,100.209187,83.831555,376,False,39,283,13.780919,12.332155,no_progress,531.180830,,,,,
194,PPO,42,97.342049,83.738198,334,False,37,283,13.074205,12.296820,no_progress,532.761609,,,,,
195,PPO,42,17.836396,75.887633,281,False,13,283,4.593640,11.448763,no_progress,534.056040,,,,,
196,PPO,42,87.809187,76.240989,500,False,39,283,13.780919,11.484099,max_steps,548.876468,-0.060702,,-0.006915,0.055533,1.353408
197,PPO,42,98.975618,81.877986,353,False,38,283,13.427562,11.978799,no_progress,550.762690,,,,,
198,PPO,42,94.642049,82.074629,361,False,37,283,13.074205,11.943463,no_progress,552.711955,,,,,
199,PPO,42,96.075618,87.998410,382,False,38,283,13.427562,12.614841,no_progress,554.813723,,,,,
200,PPO,42,12.470671,79.981201,476,False,17,283,6.007067,11.802120,no_progress,557.674693,,,,,
201,PPO,42,96.375618,79.881201,379,False,38,283,13.427562,11.802120,no_progress,559.492398,,,,,
202,PPO,42,94.542049,79.627845,362,False,37,283,13.074205,11.766784,no_progress,561.576145,,,,,
203,PPO,42,98.842756,79.491201,425,False,40,283,14.134276,11.802120,no_progress,564.380832,,,,,
204,PPO,42,94.409187,79.197915,434,False,39,283,13.780919,11.872792,no_progress,566.618826,,,,,
205,PPO,42,18.736396,79.287915,272,False,13,283,4.593640,11.872792,no_progress,567.945518,,,,,
